ID;Reference;Designation;Mill;Coul;Cond;Cont
923;018051;VALLEE DES ROIS AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
924;018055;LES BREMAILLES  AC TOURAINE GAMAY;0;RGE;x 6;75 cl
925;018056;LES BREMAILLES  AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
926;018060;GOURMETS  AC TOURAINE GAMAY;0;RGE;x 6;75 cl
927;018061;GOURMETS  AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
928;018065;CH VALLAGON  AC TOURAINE GAMAY;0;RGE;x 12;75 cl
929;018066;CH VALLAGON  AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
930;018070;DME DU BOUC  AC TOURAINE GAMAY;0;RGE;x 12;75 cl
931;018071;DME DU BOUC  AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
932;018090;VALLEE DES ROIS AC TOURAINE PINEAU D'AUNIS;0;RSE;x 12;75 cl
933;018091;VALLEE DES ROIS AC TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl
934;018095;LES BREMAILLES AC TOURAINE PINEAU D'AUNIS;0;RSE;x 12;75 cl
935;018096;LES BREMAILLES AC TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl
936;018100;GOURMETS AC TOURAINE PINEAU D'AUNIS;0;RSE;x 6;75 cl
937;018101;GOURMETS AC TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl
938;031001;LE PRINCE NANTAIS AC MUSCADET S&M / LIE;0;BLC;x 6;75 cl
939;031002;LE PRINCE NANTAIS AC MUSCADET S&M / LIE;0;BLC;x 12;37.5 cl
940;031003;DME DAVAULT AC TOURAINE GAMAY;0;RGE;x 6;75 cl
941;031004;PATRICK VADE AC SAUMUR-CHAMPIGNY;0;RGE;x 12;37.5 cl
942;031005;LES VERSAINES AC ROSE DE LOIRE;0;RSE;x 6;75 cl
943;031006;LES VERSAINES AC ROSE DE LOIRE;0;RSE;x 12;37.5 cl
944;031008;LA SABLETTE VDQS GROS PLANT / LIE;0;BLC;x 6;75 cl
945;031009;LA SABLETTE VDQS GROS PLANT / LIE;0;BLC;x 12;37.5 cl
946;031010;CHaTEAU CHAMPTELOUP AC COTEAUX DU LAYON;0;BLC;x 6;75 cl
947;031011;CHaTEAU CHAMPTELOUP AC ROSE DE LOIRE;0;RSE;x 6;75 cl
948;031012;AC ST NICO DE BOURGUEIL  DOM DES COT DE LA GARDIER;0;RGE;x 6;75 cl
949;031013;AC ST NICO DE BOURGUEIL  DOM DES COT DE LA GARDIER;0;RGE;x 12;37.5 cl
950;031014;LA SABLETTE AC TOURAINE SAUVIGNON;0;BLC;x 6;75 cl
951;031015;DOM DE LA GARENNE AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
952;031016;LA PERCLAIRE AC TOURAINE SAUVIGNON;0;BLC;x 6;75 cl
953;031017;LA PERCLAIRE AC TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl
954;031018;LES BERNIERES AC CHINON;0;RGE;x 6;75 cl
955;031019;LES BERNIERES AC CHINON;0;RGE;x 12;37.5 cl
956;031020;DES BUISSONNES AC SANCERRE;0;BLC;x 6;75 cl
957;031021;DES BUISSONNES AC SANCERRE;0;BLC;x 12;37.5 cl
958;031022;LA SABLETTE AC MUSCADET S&M / LIE;0;BLC;x 12;75 cl
959;031023;LA SABLETTE AC MUSCADET S&M / LIE;0;BLC;x 12;37.5 cl
960;031025;LA PERCLAIRE AC TOURAINE SAUVIGNON;0;BLC;x 12;75 cl
961;031028;DOM VILLERET AC ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl
962;031029;DOM VILLERET AC ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl
963;031030;DOM LES GELERIES AC CHINON;0;RGE;x 6;75 cl
964;031031;DOM LES GELERIES AC CHINON;0;RGE;x 12;37.5 cl
965;031032;MARCEL MARTIN  VDQS GROS PLANT;0;BLC;x 6;75 cl
966;031033;MARCEL MARTIN  VDQS GROS PLANT;0;BLC;x 12;37.5 cl
967;031034;LES VERSAINES AC ROSE DE LOIRE;0;RSE;x 6;75 cl
968;031035;LES VERSAINES AC ROSE DE LOIRE;0;RSE;x 12;37.5 cl
969;031036;CHANTEBELLE AC CABERNET D'ANJOU;0;RGE;x 6;75 cl
970;031048;DME DES PIERRETTES AC TOURAINE GAMAY;0;RGE;x 6;75 cl
971;031049;DME DES PIERRETTES AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
972;031050;LES ECHALIERS AC ST NICOLAS DE BOURGUEIL;0;RGE;x 6;75 cl
973;031051;LES ECHALIERS AC ST NICOLAS DE BOURGUEIL;0;RGE;x 12;37.5 cl
974;031053;LE CLOUQUIN AC TOURAINE GAMAY;0;RGE;x 6;75 cl
975;031054;LE CLOUQUIN AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl
976;031056;LA HOUDERAY AC SAUMUR CHAMPIGNY;0;RGE;x 6;75 cl
977;031057;LA HOUDERAY AC SAUMUR CHAMPIGNY;0;RGE;x 12;37.5 cl
978;031074;LES PERRIERS AC SANCERRE;0;RGE;x 6;75 cl
979;031075;CHaTEAU DE CHAMPTELOUP AC ROSE LOIRE;0;RSE;x 12;37.5 cl
980;031076;DOMAINE DES BERRIS AC ST NICOLAS DE BOURGUEIL;0;RGE;x 6;75 cl
981;031077;DOMAINE DES BERRIS AC ST NICOLAS DE BOURGUEIL;0;RGE;x 12;37.5 cl
982;031086;DOMAINE DE BEAUREPAIRE AC MENETOU SALON;2005;BLC;x 6;75 cl
983;031091;LA SABLETTE AC TOURAINE SAUVIGNON;0;BLC;x 6;75 cl
984;014001;VIDAL FLEURY AC COTE ROTIE BRUNE ET BLONDE;2000;RGE;x 6;75 cl
985;014005;VIDAL FLEURY AC HERMITAGE;0;RGE;x 12;75 cl
986;014006;VIDAL FLEURY AC HERMITAGE;0;RGE;x 24;37.5 cl
987;014010;VIDAL FLEURY AC CORNAS;0;RGE;x 6;75 cl
988;014015;VIDAL FLEURY AC CHaTEAU NEUF DU PAPE;1998;RGE;x 12;75 cl
989;014016;VIDAL FLEURY AC CHaTEAU NEUF DU PAPE;0;RGE;x 24;37.5 cl
990;014024;VIDAL FLEURY AC GIGONDAS;2000;RGE;x 12;75 cl
991;014025;VIDAL FLEURY AC GIGONDAS;2000;RGE;x 12;37.5 cl
992;014030;VIDAL FLEURY AC ST JOSEPH;2004;RGE;x 12;75 cl
993;014031;VIDAL FLEURY AC ST JOSEPH;2004;RGE;x 12;37.5 cl
994;014036;VIDAL FLEURY AC CROZES HERMITAGE;2005;RGE;x 12;75 cl
995;014037;VIDAL FLEURY AC CROZES HERMITAGE;2005;RGE;x 12;37.5 cl
997;014043;VIDAL FLEURY AC VACQUEYRAS;2001;RGE;x 24;37.5 cl
998;014049;VIDAL FLEURY AC COTES DU RHONE VILLAGES CAIRANNE;2003;RGE;x 12;75 cl
999;014050;VIDAL FLEURY AC COTES DU RHONE VILLAGE CAIRANNE;2003;RGE;x 12;75 cl
1000;014051;VIDAL FLEURY AC COTES DU RHONE VILLAGE;0;RGE;x 12;37.5 cl
1001;014052;VIDAL FLEURY AC COTES DU RHONE VILLAGES CAIRANNE;2000;RGE;x 12;37.5 cl
1002;014055;VIDAL FLEURY AC COTES DU RHONE MILLESIME;0;RGE;x 12;75 cl
1003;014056;VIDAL FLEURY AC COTES DU RHONE MILL;0;RGE;x 24;37.5 cl
1004;014060;VIDAL FLEURY AC COTES DU RHONE RESERVE;0;RGE;x 12;75 cl
1005;014061;VIDAL FLEURY AC COTES DU RHONE RESERVE;0;RGE;x 24;37.5 cl
1006;014065;VIDAL FLEURY AC COTES DU VENTOUX;0;RGE;x 12;75 cl
1007;014070;VIDAL FLEURY AC TAVEL;2005;RSE;x 12;75 cl
1008;014071;VIDAL FLEURY AC TAVEL;2005;RSE;x 24;37.5 cl
1009;014076;VIDAL FLEURY AC COTES DU RHONE;0;RSE;x 12;75 cl
1010;014080;VIDAL FLEURY AC CONDRIEU;0;BLC;x 12;75 cl
1011;014085;VIDAL FLEURY AC HERMITAGE;0;BLC;x 12;75 cl
1012;014090;VIDAL FLEURY AC CHaTEAU NEUF DU PAPE;0;BLC;x 6;75 cl
1013;014095;VIDAL FLEURY AC ST JOSEPH;2001;BLC;x 12;75 cl
1014;014096;VIDAL FLEURY AC ST JOSEPH;0;BLC;x 24;37.5 cl
1015;014100;VIDAL FLEURY AC CROZES HERMITAGE;2003;BLC;x 12;75 cl
1016;014101;VIDAL FLEURY AC CROZES HERMITAGE;0;BLC;x 24;37.5 cl
1017;014105;VIDAL FLEURY AC COTES DU RHONE;0;BLC;x 12;75 cl
1018;014110;VIDAL FLEURY AC BEAUME DE VENISE MUSCAT;0;BLC;x 12;75 cl
1019;014111;VIDAL FLEURY AC BEAUME DE VENISE MUSCAT;0;BLC;x 24;37.5 cl
1020;014116;VIDAL FLEURY AC LA CHATILLONNE COTE ROTIE COT BLON;0;BLC;x 12;75 cl
1021;014504;VIDAL FLEURY AC COTES DU RHONE VILLAGE;0;BLC;x 12;75 cl
1022;014505;VIDAL FLEURY AC CAIRANNE;0;RGE;x 12;37.5 cl
1023;014540;VIDAL FLEURY AC COTES DU RHONE;0;RGE;x 12;75 cl
1024;014541;VIDAL FLEURY AC COTES DU RHONE;0;RGE;x 24;37.5 cl
1025;014542;VIDAL FLEURY AC COTES DU RHONE VILLAGE;0;RGE;x 24;37.5 cl
1026;071001;BOISSERON MERLOT VDT 13;2003;RGE;x 1;VRAC
1027;071002;BOISSERON VDT 12;2003;RGE;x 1;VRAC
1028;071003;BOISSERON MERLOT VDP OC 13;2003;RGE;x 1;VRAC
1029;071004;BOISSERON VDP SYRAH GRENACHE 12;0;RGE;x 1;VRAC
1030;071010;GALLARGUES GOURMETS VDT 12,5;0;RGE;x 1;VRAC
1031;071015;MONTAUD SAUVIGNON VDPOC 13;0;BLC;x 1;VRAC
1032;071016;MONTAUD AC COTEAUX DU LANGUEDOC;0;RGE;x 1;VRAC
1033;071020;SUSSARGUES VDT 12;0;RSE;x 1;VRAC
1034;006001;DOM GRANGE AC MUS SEVRE MAINE / LIE CUV DOMAINE;0;BLC;x 12;75 cl
1035;006002;DOM GRANGE AC MUS SEVRE MAINE / LIE CUV DOMAINE;0;BLC;x 24;37.5 cl
1036;006007;CLOS DES ALLEES  AC MUS SEVRE MAINE / LIE;0;BLC;x 12;75 cl
1037;006008;CLOS DES ALLEES  AC MUS SEVRE MAINE / LIE;0;BLC;x 24;37.5 cl
1038;006010;"LE ""L"" D'OR DE LUNEAU AC MUS SEVRE MAINE / LIE";0;BLC;x 12;75 cl
1039;006011;"LE ""L"" D'OR DE LUNEAU AC MUS SEVRE MAINE / LIE";0;BLC;x 24;37.5 cl
1040;006013;MANOIR LUNEAU PAPIN MUSCADET S*M / LIE FUT CHENE;0;BLC;x 12;75 cl
1041;006014;MANOIR GRANGE MUSCADET S*M / LIE FUT CHENE NEUF;0;BLC;x 24;37.5 cl
1042;006023;LES PIERRES BLANCHES AC MUSCADET S* M / LIE;0;BLC;x 12;75 cl
1043;006024;LES PIERRES BLANCHES AC MUSCADET S* M / LIE;0;BLC;x 24;37.5 cl
1044;006509;L D'OR DE LUNEAU AC MUSCADET S*M / LIE;0;BLC;x 12;75 cl
1045;064001;DOM DU CLOSEL AC SAVENNIERES LA JALOUSIE;2002;BLC;x 12;75 cl
1046;064002;DOM DU CLOSEL AC SAVENNIERES CUVEE CLASSIQUE;2001;BLC;x 24;37.5 cl
1047;064007;DOM DU CLOSEL AC SAVENNIERES CUVEE SPECIALE;0;BLC;x 12;75 cl
1048;061020;LAVILLEDIEU AOVDQS 11;0;RGE;x 1;B10L
1049;056001;DOMAINE DES OUCHES AC BOURGUEIL;0;RGE;x 12;75 cl
1050;056002;DOMAINE DES OUCHES AC BOURGUEIL;0;RGE;x 24;37.5 cl
1051;047001;Y. LAMBERT AC CREMANT DE LOIRE;0;BLC;x 6;75 cl
1052;047005;Y. LAMBERT AC SAUMUR LA COULEE DE ST CYR;2001;BLC;x 6;75 cl
1053;023001;JARNOTERIE AC ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl
1054;023002;JARNOTERIE AC ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl
1056;088002;DOMAINE PORTIER AC QUINCY;0;BLC;x 12;37.5 cl
1057;065001;DOMAINE DE L'OLIVETTE AC BANDOL;0;RSE;x 12;75 cl
1058;065002;DOMAINE DE L'OLIVETTE AC BANDOL;0;RSE;x 24;37.5 cl
1059;065003;DOMAINE DE L'OLIVETTE AC BANDOL;0;RGE;x 12;75 cl
1060;065005;DOMAINE DE L'OLIVETTE AC BANDOL;0;BLC;x 12;75 cl
1061;059001;CHAT ROUET AC COTES PROVENCE CUVEE RESERVEE;2005;RSE;x 12;75 cl
1062;059002;AC C.PROVENCE. ESTERELLE .ROUET;2015;RSE;x 12;37.5 cl
1063;059010;AC C.PROVENCE. BELLE POULE;2014;RSE;x 6;75 cl
1065;037001;JM. RAFFAULT AC CHINON LES PICASSES;0;RGE;x 6;75 cl
1066;037002;JM. RAFFAULT AC CHINON LES PICASSES;0;RGE;x 1;37.5 cl
1067;037005;JM. RAFFAULT AC CHINON;2014;RSE;x 6;75 cl
1068;037006;JM. RAFFAULT AC CHINON;0;RSE;x 1;37.5 cl
1069;037010;AC CHINON SEC;2015;BLC;x 6;75 cl
1070;037011;JM. RAFFAULT AC CHINON SEC;0;BLC;x 1;37.5 cl
1071;009001;LES CHAILLOUX AC POUILLY FUME;2003;BLC;x 6;75 cl
1072;009002;LES CHAILLOUX AC POUILLY FUME;2003;BLC;x 12;37.5 cl
1073;009004;DOM CHAT AC POUILLY FUME LES CHARMES;0;BLC;x 12;75 cl
1074;009005;DOM CHAT AC POUILLY FUME LES CHARMES;0;BLC;x 24;37.5 cl
1075;009007;DOM CHAT AC POUILLY FUME CHATELAIN PRESTIGE;0;BLC;x 12;75 cl
1076;068001;"DUBREUIL FON AC PERNAND VERGELESSES ""CLOS BERTHET""";0;BLC;x 6;75 cl
1077;068002;"DUBREUIL FON AC PERNAND VERGELESSES ""CLOS BERTHET""";0;RGE;x 12;75 cl
1078;068003;DUBREUIL F. AC PERNAND ILE DES VERGELESSES 1ER CRU;2002;BLC;x 6;75 cl
1079;068013;DUB. F. AC SAVIGNY LES BEAUNE VERGELESSES 1ER CRU;2003;BLC;x 6;75 cl
1080;068014;DUBREUIL F. AC PERNAND VERGELESSES;0;BLC;x 6;75 cl
1081;068015;DUBREUIL F. AC BEAUNE MONTREVENOTS 1ER CRU;0;BLC;x 6;75 cl
1082;068016;DUBREUIL F. AC ALOXE CORTON LES VERCOTS 1ER CRU (;2001;RGE;x 6;75 cl
1083;068030;DUBREUIL F. AC CORTON CLOS DU ROI GRAND CRU;0;RGE;x 6;75 cl
1084;068032;DUBREUIL F. AC CORTON PERRIERES GRAND CRU;0;RGE;x 6;75 cl
1085;068040;DUBREUIL F. AC VOLNAY;2001;RGE;x 6;75 cl
1086;068045;DUBREUIL F. AC POMMARD EPENOTS 1ER CRU;0;RGE;x 6;75 cl
1087;068106;DUBREUIL F. AC PERNAND VERGELESSES;0;BLC;x 6;75 cl
1088;068120;DUBREUIL F. AC CORTON CHARLEMAGNE GRAND CRU;0;BLC;x 6;75 cl
1089;068200;DUBREUIL F. AC BOURGOGNE ALIGOTE;0;BLC;x 12;75 cl
1090;013000;LA CHABLISIENNE AC BOURGOGNE PASSETOUTGRAINS;2004;RGE;x 6;75 cl
1091;013001;LA CHABLISIENNE AC BOURGOGNE PASSETOUTGRAINS;2001;RGE;x 12;37.5 cl
1092;013006;LA CHABLISIENNE VDP CHARDONNAY;0;BLC;x 6;75 cl
1093;013007;LA CHABLISIENNE VIN APP VILLAGE IRANCY;0;RGE;x 6;75 cl
1094;013010;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME  VAULORENT;2002;BLC;x 6;75 cl
1095;013011;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME  VAULORENT;0;BLC;x 24;37.5 cl
1096;013012;LA CHABLISIENNE AC CREMANT DE BOURGOGNE CUVEE BRUT;0;BLC;x 6;75 cl
1099;013045;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 6;75 cl
1100;013046;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 12;37.5 cl
1101;013055;LA CHABLISIENNE  AC PETIT CHABLIS;2004;BLC;x 6;75 cl
1102;013056;LA CHABLISIENNE  AC PETIT CHABLIS;0;BLC;x 6;150 cl
1103;013070;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 12;75 cl
1104;013071;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 6;75 cl
1105;013072;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 12;37.5 cl
1106;013073;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 6;75 cl
1107;013074;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 1;150 cl
1108;013080;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2001;BLC;x 6;75 cl
1109;013081;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2001;BLC;x 12;37.5 cl
1110;013084;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2002;BLC;x 6;75 cl
1112;013086;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 12;37.5 cl
1113;013087;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 6;75 cl
1114;013088;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 1;150 cl
1116;013132;LA CHABLISIENNE  AC CHABLIS GRAND CRU LES PREUSES;0;BLC;x 12;37.5 cl
1117;013160;LA CHABLISIENNE  AC CHABLIS GRAND CRU BOUGROS;0;BLC;x 12;75 cl
1118;013190;LA CHABLISIENNE  AC CHABLIS GRAND CRU BLANCHOT;0;BLC;x 12;75 cl
1119;013191;LA CHABLISIENNE  AC CHABLIS GRAND CRU BLANCHOT;0;BLC;x 12;37.5 cl
1120;013210;LA CHABLISIENNE  AC CHABLIS GRAND CRU VALMUR;0;BLC;x 12;75 cl
1121;013240;LA CHABLISIENNE  AC CHABLIS 1ER CRUCOTE DE LECHET;0;BLC;x 6;75 cl
1122;013271;LA CHABLISIENNE  AC CHABLIS GRAND CRU VAUDESIR;0;BLC;x 6;75 cl
1123;013272;LA CHABLISIENNE  AC CHABLIS GRAND CRU VAUDESIR;0;BLC;x 12;37.5 cl
1124;013300;LA CHABLISIENNE  AC CHABLIS GRAND CRU LES CLOTS;0;BLC;x 12;75 cl
1125;013330;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 12;75 cl
1126;013331;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 12;37.5 cl
1127;013332;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 6;75 cl
1128;013345;LA CHABLISIENNE  AC CHABLIS 1ER CRU LES LYS;0;BLC;x 6;75 cl
1130;013361;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;2003;BLC;x 12;37.5 cl
1131;013362;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;2003;BLC;x 6;75 cl
1132;013363;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;0;BLC;x 1;150 cl
1133;013392;LA CHABLISIENNE  AC CHABLIS 1ER CRU BEAUROY;0;BLC;x 12;75 cl
1134;013420;LA CHABLISIENNE  AC CHABLIS 1ER CRU VAILLONS;0;BLC;x 12;75 cl
1135;013450;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONTMAIN;0;BLC;x 12;75 cl
1136;013480;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2001;BLC;x 12;75 cl
1137;013481;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2000;BLC;x 24;37.5 cl
1138;013483;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME VAULORENTS;0;BLC;x 12;75 cl
1139;013540;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 6;75 cl
1140;013660;LA CHABLISIENNE  AC CHABLIS GRAND CRU GRENOUILLE;0;BLC;x 6;75 cl
1141;013661;LA CHABLISIENNE  AC CHABLIS GRAND CRU GRENOUILLE;0;BLC;x 24;37.5 cl
1142;004001;DOM DOZON AC CHINON CLOS SAUT LOUP;2002;RGE;x 6;75 cl
1143;004002;DOM DOZON AC CHINON CLOS SAUT LOUP;2002;RGE;x 12;37.5 cl
1144;004004;DOM DOZON AC CHINON;0;RSE;x 6;75 cl
1145;004005;DOM DOZON AC CHINON;0;RSE;x 12;37.5 cl
1147;004008;DOM DOZON AC CHINON VIEILLES VIGNES;2003;RGE;x 12;37.5 cl
1148;004009;DOM DOZON AC CHINON VIEILLES VIGNES;0;RGE;x 3;150 cl
1150;019011;AC BX SUP. CH GAURY-BALETTE;2014;RGE;x 6;75 cl
1151;025026;VDP CHARDONNAY. D.D'ANTUGNAC;2014;BLC;x 6;75 cl
1153;042100;IGP VAUCLUSE;0;RGE;x 1;VRAC
1156;032001;CH PEY-LAMOTHE TRADITION AC ST EMILION;2001;RGE;x 6;75 cl
1158;040012;AC C DE BOURG BEL AIR;2012;RGE;x 6;150 cl
1159;052039;AC HT-MEDOC ENCLOS DE RAMAGE;2010;RGE;x 6;75 cl
1160;015001;CHATEAU DE LA NAUVE AC ST EMILION;2000;RGE;x 6;75 cl
1161;015005;CHATEAU DE LA NAUVE AC ST EMILION FUT DE CHENE;2001;RGE;x 6;75 cl
1162;074001;AC GIGONDAS SIGNATURE;2088;RGE;x 6;75 cl
1163;074005;HALLALI - GRANDE RESERVE AC GIGONDAS;2006;RGE;x 6;75 cl
1165;025002;AC SAINT VERAN;2010;BLC;x 24;37.5 cl
1169;075001;AC MEDOC CH LE BREUIL RENAISSANCE;2004;RGE;x 6;75 cl
1177;032005;CH PEY LAMOTHE LA REFERENCE AC MONTAGNE ST EMILION;2000;RGE;x 6;75 cl
1185;051010;CLOS TRIMOULET AC ST EMILION GD CRU;2010;RGE;x 6;75 cl
1188;061001;AOVDQS LAVILLEDIEU 11;2003;RGE;x 1;B10L
1189;035016;DOM OLIVIER AC ST NICOLAS DE BOURGUEIL;2002;RGE;x 1;300cl D-MAG
1193;052017;AC HT MEDOC CRU B CH RAMAGE LA BATISSE;2010;RGE;x 6;150 cl
1194;052038;CLOS DE RAMAGE AC HAUT-MEDOC;1999;RGE;x 6;75 cl
1195;071005;BOISSERON MERLOT VDT 12;0;RGE;x 1;VRAC
1196;025021;AC POUILLY-FUISSE. V.VIGNES;2013;BLC;x 6;75 cl
1197;076001;CHATEAU LA BONETIE AC BORDEAUX;2001;RGE;x 6;75 cl
1198;076005;CHATEAU LA BONETIE AC ENTRE DEUX MERS;2004;BLC;x 6;75 cl
1203;114007;AC TOURAINE D.LA CHAISE;2003;RSE;x 6;75 cl
1204;114008;DOMAINE DE LA CHAISE AC TOURAINE;2003;RSE;x 6;37.5 cl
1207;057015;DME BELLEFOND AOC GAILLAC;2002;RGE;x 6;75 cl
1208;011015;AC VOUVRAY METH TRAD BRUT D.CHATAIGNERAIE;0;BLC;x 6;150 cl
1209;017030;DOMAINE BELLEGARDE AC JURANCON MOELLEUX;2003;BLC;x 12;75 cl
1210;013002;DME LA CHABLISIENNE AC PETIT CHABLIS PRELUDE;2002;BLC;x 6;75 cl
1211;063089;CH NODOZ  T. B.  AC COTES DE BOURG;0;RGE;x 24;37.5 cl
1212;086020;DUC DE BERTICOT AC COTES DE DURAS;2001;RGE;x 6;75 cl
1213;086021;CUVEE VIEILLES VIGNES AC COTES DE DURAS SAUVIGNON;2001;BLC;x 6;75 cl
1214;025008;DME DEUX ROCHES AC SAINT VERAN LES TERRES NOIRES;2002;BLC;x 6;75 cl
1215;025007;DME DEUX ROCHES AC SAINT VERAN VIEILLES VIGNES;2002;BLC;x 6;75 cl
1216;032002;CH PEY-LAMOTHE TRADITION AC MONTAGNE ST EMILION;2002;RGE;x 6;75 cl
1217;075002;AC MEDOC. CH.BREUIL RENAISSANCE;2013;RGE;x 6;75 cl
1220;090005;DOMAINE ST ENNEMOND BROUILLY;2002;RGE;x 6;75 cl
1221;090006;DOMAINE ST ENNEMOND BROUILLY;2002;RGE;x 6;37.5 cl
1222;090021;DOMAINE SANTE AC MOULIN A VENT;2002;RGE;x 6;75 cl
1223;090030;CHRISTIAN BERNARD AC FLEURIE;2002;RGE;x 6;75 cl
1224;090031;CHRISTIAN BERNARD AC FLEURIE;2002;RGE;x 6;37.5 cl
1225;040009CB;AC C.DE BOURG. BEL AIR;2011;RGE;x 3 CB;75 cl
1226;019002;CH LES HAUTS DE PEREY AC BDX SUP;2003;RGE;x 6;75 cl
1227;007007;DME DUSSOURT AC RIESLING;2001;BLC;x 6;75 cl
1228;042024;SCEAU DU PRINCE AC COTES DU RHONE;2003;RGE;x 6;75 cl
1229;042027;SCEAU DU PRINCE AC COTES DU RHONE;2003;RGE;x 12;37.5 cl
1230;042098;BLASON DU PRINCE AC CHATEAU NEUF DU PAPE;2003;RGE;x 6;75 cl
1231;028004;CH LES BERTRANDS AC 1ERES COTES DE BLAYE TRAD;2003;BLC;x 6;75 cl
1232;029011;DME BELLE MARE VDP COLLINES DE LA MOURE;2003;RGE;x 6;75 cl
1233;026700;VIGN S-BEL AC COTEAUX DU LYONNAIS;0;RSE;x 1;B10L
1234;089800;AC SAUMUR BRUT D.DE LA PALEINE;0;RSE;x 6;75 cl
1235;007008;AC RIESLING D. DUSSOURT;2011;BLC;x 12;37.5 cl
1236;062023;AC GRAVES .PRESTIGE C.D'ARTIGUES;2005;RGE;x 6;75 cl
1238;063092;CH NODOZ COTES DE BOURG;1990;RGE;x 6;150 cl
1239;071900;VDT ROUGE 12 DEGRES CUVEE DES GOURMETS;2003;RGE;x 1;VRAC
1240;071910;VDP OC MERLOT ROUGE 12 ;2003;RGE;x 6;VRAC
1241;071916;VDP ROUGE MERLOT 12 DOMAINE LANDAU;2003;RGE;x 6;VRAC
1242;006025;DOM GRANGE VDP JARDIN DE LA FRANCE GAMAY;2003;RGE;x 6;75 cl
1243;031078;SAUMUR CHAMPIGNY CUV BAUNELLES DME BOIS JOLI;2003;RGE;x 6;75 cl
1244;031079;SAUMUR CHAMPIGNY CUV BAUNELLES DME BOIS JOLI;2003;RGE;x 6;37.5 cl
1245;087003;GERARD BIGONNEAU AC REUILLY BLANC LES BOUCHAUDS;2003;BLC;x 6;75 cl
1246;087010;AOC QUINCY DME CHAGNAT;2003;BLC;x 6;75 cl
1247;087011;GERARD BIGONNEAU QUINCY;2003;BLC;x 6;37.5 cl
1248;011016;CUVEE 23 OCTOBRE AC VOUVRAY MOELLEUX 50 CL;2003;BLC;x 6;75 cl
1249;019012;AC BDX SUP. CH GAURY BALETTE;2005;RGE;x 6;150 cl
1250;025020;DME 2 ROCHES POUILLY FUISSE;2003;BLC;x 24;37.5 cl
1251;090017;DME PRESSOIR FLEURI AC MORGON A.MEZIAT;2003;RGE;x 6;75 cl
1252;076004;CH LA BONETIE AC BORDEAUX;2000;RGE;x 6;75 cl
1253;071918;VDP OC RGE SYRAH 12;2003;RGE;x 6;VRAC
1254;027007;DME GD ROUVIERE  AC COTES DE PROVENCE ROSE;2004;RSE;x 1;B10L
1255;027008;DME GD ROUVIERE  AC COTES DE PROVENCE;2004;RSE;x 1;B05L
