ID;Reference;Designation;Mill;Coul;Cond;Cont;
888;114005;AOP GAMAY TOURAINE DOMAINE DE LA CHAISE;2014;RGE;x 6;75 cl;
889;114006;AOP GAMAY TOURAINE DOMAINE DE LA CHAISE;2013;RGE;x 12;37.5 cl;
890;115001;AOP COTES DU RHONE CHATEAU DES ROQUES;2011;RGE;x 6;75 cl;
891;115005;AOP COTES DU RHONE CHATEAU DES ROQUES;2012;RGE;x 6;75 cl;
892;115006;AOP VACQUEYRAS CHATEAU DES ROQUES;2000;RGE;x 6;150 cl;
899;082010;HOBIBAG ROUGE 10 L UNI - ANCIEN MODELE;0;RGE;x 1;37.5 cl;
902;080006;CUVEE MARECHAL AOP SANCERRE;2011;RGE;x 12;75 cl;
903;080007;CUVEE MARECHAL AOP SANCERRE;2013;BLC;x 12;75 cl;
904;080010;AOP SANCERRE DOMAINE DE ST PIERRE;2014;BLC;x 6;75 cl;
905;080011;AOP SANCERRE DOMAINE DE ST PIERRE;2014;BLC;x 12;37.5 cl;
906;080012;AOP SANCERRE DOMAINE DE ST PIERRE;0;BLC;x 6;150 cl;
907;080013;AOP SANCERRE DOMAINE DE ST PIERRE;2014;RSE;x 6;75 cl;
908;080014;AOP SANCERRE DOMAINE DE ST PIERRE;2014;RSE;x 12;37.5 cl;
909;080015;AOP SANCERRE DOMAINE DE ST PIERRE;2012;RGE;x 6;75 cl;
910;080016;AOP SANCERRE DOMAINE DE ST PIERRE;2011;RGE;x 12;37.5 cl;
919;018016;CHATEAU VALLAGON AOP TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl;
920;018020;DOMAINE DU BOUC AOP TOURAINE SAUVIGNON;0;BLC;x 12;75 cl;
921;018021;DOMAINE DU BOUC AOP TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl;
922;018050;VALLEE DES ROIS AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
923;018051;VALLEE DES ROIS AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
924;018055;LES BREMAILLES  AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
925;018056;LES BREMAILLES  AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
926;018060;GOURMETS  AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
927;018061;GOURMETS  AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
928;018065;CHATEAU VALLAGON  AOP TOURAINE GAMAY;0;RGE;x 12;75 cl;
929;018066;CHATEAU VALLAGON  AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
930;018070;DOMAINE DU BOUC AOP TOURAINE GAMAY;0;RGE;x 12;75 cl;
931;018071;DOMAINE DU BOUC AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
932;018090;VALLEE DES ROIS AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 12;75 cl;
933;018091;VALLEE DES ROIS AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl;
934;018095;LES BREMAILLES AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 12;75 cl;
935;018096;LES BREMAILLES AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl;
936;018100;GOURMETS AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 6;75 cl;
937;018101;GOURMETS AOP TOURAINE PINEAU D'AUNIS;0;RSE;x 12;37.5 cl;
938;031001;LE PRINCE NANTAIS AOP MUSCADET S&M / LIE;0;BLC;x 6;75 cl;
939;031002;LE PRINCE NANTAIS AOP MUSCADET S&M / LIE;0;BLC;x 12;37.5 cl;
940;031003;DOMAINE DAVAULT AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
941;031004;PATRICK VADE AOP SAUMUR-CHAMPIGNY;0;RGE;x 12;37.5 cl;
942;031005;LES VERSAINES AOP ROSE DE LOIRE;0;RSE;x 6;75 cl;
943;031006;LES VERSAINES AOP ROSE DE LOIRE;0;RSE;x 12;37.5 cl;
944;031008;LA SABLETTE VDQS GROS PLANT / LIE;0;BLC;x 6;75 cl;
945;031009;LA SABLETTE VDQS GROS PLANT / LIE;0;BLC;x 12;37.5 cl;
946;031010;CHATEAU CHAMPTELOUP AOP COTEAUX DU LAYON;0;BLC;x 6;75 cl;
947;031011;CHATEAU CHAMPTELOUP AOP ROSE DE LOIRE;0;RSE;x 6;75 cl;
948;031012;AOP ST NICOLAS DE BOURGUEIL DOMAINE DES COT DE LA GARDIER;0;RGE;x 6;75 cl;
949;031013;AOP ST NICOLAS DE BOURGUEIL DOMAINE DES COT DE LA GARDIER;0;RGE;x 12;37.5 cl;
950;031014;LA SABLETTE AOP TOURAINE SAUVIGNON;0;BLC;x 6;75 cl;
951;031015;DOM DE LA GARENNE AC TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
952;031016;LA PERCLAIRE AOP TOURAINE SAUVIGNON;0;BLC;x 6;75 cl;
953;031017;LA PERCLAIRE AOP TOURAINE SAUVIGNON;0;BLC;x 12;37.5 cl;
954;031018;LES BERNIERES AOP CHINON;0;RGE;x 6;75 cl;
955;031019;LES BERNIERES AOP CHINON;0;RGE;x 12;37.5 cl;
956;031020;DES BUISSONNES AOP SANCERRE;0;BLC;x 6;75 cl;
957;031021;DES BUISSONNES AOP SANCERRE;0;BLC;x 12;37.5 cl;
958;031022;LA SABLETTE AC MUSCADET S&M / LIE;0;BLC;x 12;75 cl;
959;031023;LA SABLETTE AC MUSCADET S&M / LIE;0;BLC;x 12;37.5 cl;
960;031025;LA PERCLAIRE AOP TOURAINE SAUVIGNON;0;BLC;x 12;75 cl;
961;031028;DOMAINE VILLERET AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl;
962;031029;DOMAINE VILLERET AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl;
963;031030;DOMAINE LES GELERIES AOP CHINON;0;RGE;x 6;75 cl;
964;031031;DOMAINE LES GELERIES AOP CHINON;0;RGE;x 12;37.5 cl;
965;031032;MARCEL MARTIN  VDQS GROS PLANT;0;BLC;x 6;75 cl;
966;031033;MARCEL MARTIN  VDQS GROS PLANT;0;BLC;x 12;37.5 cl;
967;031034;LES VERSAINES AOP ROSE DE LOIRE;0;RSE;x 6;75 cl;
968;031035;LES VERSAINES AOP ROSE DE LOIRE;0;RSE;x 12;37.5 cl;
969;031036;CHANTEBELLE AOP CABERNET D'ANJOU;0;RGE;x 6;75 cl;
970;031048;DOMAINE DES PIERRETTES AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
971;031049;DOMAINE DES PIERRETTES AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
972;031050;LES ECHALIERS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 6;75 cl;
973;031051;LES ECHALIERS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 12;37.5 cl;
974;031053;LE CLOUQUIN AOP TOURAINE GAMAY;0;RGE;x 6;75 cl;
975;031054;LE CLOUQUIN AOP TOURAINE GAMAY;0;RGE;x 12;37.5 cl;
976;031056;LA HOUDERAY AOP SAUMUR CHAMPIGNY;0;RGE;x 6;75 cl;
977;031057;LA HOUDERAY AOP SAUMUR CHAMPIGNY;0;RGE;x 12;37.5 cl;
978;031074;LES PERRIERS AOP SANCERRE;0;RGE;x 6;75 cl;
979;031075;CHATEAU DE CHAMPTELOUP AOP ROSE LOIRE;0;RSE;x 12;37.5 cl;
980;031076;DOMAINE DES BERRIS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 6;75 cl;
981;031077;DOMAINE DES BERRIS AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 12;37.5 cl;
982;031086;DOMAINE DE BEAUREPAIRE AOP MENETOU-SALON;2005;BLC;x 6;75 cl;
983;031091;LA SABLETTE AOP TOURAINE SAUVIGNON;0;BLC;x 6;75 cl;
984;014001;VIDAL FLEURY AOP COTE ROTIE BRUNE ET BLONDE;2000;RGE;x 6;75 cl;
985;014005;VIDAL FLEURY AOP HERMITAGE;0;RGE;x 12;75 cl;
986;014006;VIDAL FLEURY AOP HERMITAGE;0;RGE;x 24;37.5 cl;
987;014010;VIDAL FLEURY AOP CORNAS;0;RGE;x 6;75 cl;
988;014015;VIDAL FLEURY AOP CHATEAUNEUF DU PAPE;1998;RGE;x 12;75 cl;
989;014016;VIDAL FLEURY AOP CHATEAUNEUF DU PAPE;0;RGE;x 24;37.5 cl;
990;014024;VIDAL FLEURY AOP GIGONDAS;2000;RGE;x 12;75 cl;
991;014025;VIDAL FLEURY AOP GIGONDAS;2000;RGE;x 12;37.5 cl;
992;014030;VIDAL FLEURY AOP ST JOSEPH;2004;RGE;x 12;75 cl;
993;014031;VIDAL FLEURY AOP ST JOSEPH;2004;RGE;x 12;37.5 cl;
994;014036;VIDAL FLEURY AOP CROZES HERMITAGE;2005;RGE;x 12;75 cl;
995;014037;VIDAL FLEURY AOP CROZES HERMITAGE;2005;RGE;x 12;37.5 cl;
997;014043;VIDAL FLEURY AOP VACQUEYRAS;2001;RGE;x 24;37.5 cl;
998;014049;VIDAL FLEURY AOP COTES DU RHONE VILLAGES CAIRANNE;2003;RGE;x 12;75 cl;
999;014050;VIDAL FLEURY AOP COTES DU RHONE VILLAGE CAIRANNE;2003;RGE;x 12;75 cl;
1000;014051;VIDAL FLEURY AOP COTES DU RHONE VILLAGE;0;RGE;x 12;37.5 cl;
1001;014052;VIDAL FLEURY AC COTES DU RHONE VILLAGES CAIRANNE;2000;RGE;x 12;37.5 cl;
1002;014055;VIDAL FLEURY AC COTES DU RHONE MILLESIME;0;RGE;x 12;75 cl;
1003;014056;VIDAL FLEURY AC COTES DU RHONE MILL;0;RGE;x 24;37.5 cl;
1004;014060;VIDAL FLEURY AC COTES DU RHONE RESERVE;0;RGE;x 12;75 cl;
1005;014061;VIDAL FLEURY AC COTES DU RHONE RESERVE;0;RGE;x 24;37.5 cl;
1006;014065;VIDAL FLEURY AC COTES DU VENTOUX;0;RGE;x 12;75 cl;
1007;014070;VIDAL FLEURY AC TAVEL;2005;RSE;x 12;75 cl;
1008;014071;VIDAL FLEURY AC TAVEL;2005;RSE;x 24;37.5 cl;
1009;014076;VIDAL FLEURY AC COTES DU RHONE;0;RSE;x 12;75 cl;
1010;014080;VIDAL FLEURY AC CONDRIEU;0;BLC;x 12;75 cl;
1011;014085;VIDAL FLEURY AC HERMITAGE;0;BLC;x 12;75 cl;
1012;014090;VIDAL FLEURY AC CHATEAU NEUF DU PAPE;0;BLC;x 6;75 cl;
1013;014095;VIDAL FLEURY AC ST JOSEPH;2001;BLC;x 12;75 cl;
1014;014096;VIDAL FLEURY AC ST JOSEPH;0;BLC;x 24;37.5 cl;
1015;014100;VIDAL FLEURY AC CROZES HERMITAGE;2003;BLC;x 12;75 cl;
1016;014101;VIDAL FLEURY AC CROZES HERMITAGE;0;BLC;x 24;37.5 cl;
1017;014105;VIDAL FLEURY AC COTES DU RHONE;0;BLC;x 12;75 cl;
1018;014110;VIDAL FLEURY AC BEAUME DE VENISE MUSCAT;0;BLC;x 12;75 cl;
1019;014111;VIDAL FLEURY AC BEAUME DE VENISE MUSCAT;0;BLC;x 24;37.5 cl;
1020;014116;VIDAL FLEURY AC LA CHATILLONNE COTE ROTIE COT BLON;0;BLC;x 12;75 cl;
1021;014504;VIDAL FLEURY AC COTES DU RHONE VILLAGE;0;BLC;x 12;75 cl;
1022;014505;VIDAL FLEURY AC CAIRANNE;0;RGE;x 12;37.5 cl;
1023;014540;VIDAL FLEURY AC COTES DU RHONE;0;RGE;x 12;75 cl;
1024;014541;VIDAL FLEURY AC COTES DU RHONE;0;RGE;x 24;37.5 cl;
1025;014542;VIDAL FLEURY AC COTES DU RHONE VILLAGE;0;RGE;x 24;37.5 cl;
1026;071001;BOISSERON MERLOT VDT 13deg;2003;RGE;x 1;VRAC;
1027;071002;BOISSERON VDT 12deg;2003;RGE;x 1;VRAC;
1028;071003;BOISSERON MERLOT VDP OC 13deg;2003;RGE;x 1;VRAC;
1029;071004;BOISSERON VDP SYRAH GRENACHE 12deg;0;RGE;x 1;VRAC;
1030;071010;GALLARGUES GOURMETS VDT 12,5deg;0;RGE;x 1;VRAC;
1031;071015;MONTAUD SAUVIGNON VDPOC 13deg;0;BLC;x 1;VRAC;
1032;071016;MONTAUD AC COTEAUX DU LANGUEDOC;0;RGE;x 1;VRAC;
1033;071020;SUSSARGUES VDT 12deg;0;RSE;x 1;VRAC;
1034;006001;DOMAINE GRANGE AOP MUSCADET SEVRE&MAINE/LIE CUV DOMAINE;0;BLC;x 12;75 cl;
1035;006002;DOMAINE GRANGE AOP MUSCADET SEVRE&MAINE/LIE CUV DOMAINE;0;BLC;x 24;37.5 cl;
1036;006007;CLOS DES ALLEES  AOP MUSCADET SEVRE&MAINE/LIE;0;BLC;x 12;75 cl;
1037;006008;CLOS DES ALLEES  AOP MUSCADET SEVRE&MAINE/LIE;0;BLC;x 24;37.5 cl;
1038;006010;"LE ""L"" D'OR DE LUNEAU AOP MUSCADET SEVRE&MAINE/LIE";0;BLC;x 12;75 cl;
1039;006011;"LE ""L"" D'OR DE LUNEAU AOP MUSCADET SEVRE&MAINE/LIE";0;BLC;x 24;37.5 cl;
1040;006013;MANOIR LUNEAU PAPIN MUSCADET SEVRE&MAINE/LIE FUT CHENE;0;BLC;x 12;75 cl;
1041;006014;MANOIR GRANGE MUSCADET SEVRE&MAINE/LIE FUT CHENE NEUF;0;BLC;x 24;37.5 cl;
1042;006023;LES PIERRES BLANCHES MUSCADET SEVRE& MAINE/LIE;0;BLC;x 12;75 cl;
1043;006024;LES PIERRES BLANCHES MUSCADET SEVRE & MAINE/LIE;0;BLC;x 24;37.5 cl;
1044;006509;L D'OR DE LUNEAU MUSCADET SEVRE&MAINE/LIE;0;BLC;x 12;75 cl;
1045;064001;DOMAINE DU CLOSEL AOP SAVENNIERES LA JALOUSIE;2002;BLC;x 12;75 cl;
1046;064002;DOMAINE DU CLOSEL AOP SAVENNIERES CUVEE CLASSIQUE;2001;BLC;x 24;37.5 cl;
1047;064007;DOM DU CLOSEL AC SAVENNIERES CUVEE SPECIALE;0;BLC;x 12;75 cl;
1048;061020;LAVILLEDIEU AOVDQS 11deg;0;RGE;x 1;B10L;
1049;056001;DOMAINE DES OUCHES AOP BOURGUEIL;0;RGE;x 12;75 cl;
1050;056002;DOMAINE DES OUCHES AOP BOURGUEIL;0;RGE;x 24;37.5 cl;
1051;047001;Y. LAMBERT AOP CREMANT DE LOIRE;0;BLC;x 6;75 cl;
1052;047005;Y. LAMBERT AOP SAUMUR LA COULEE DE ST CYR;2001;BLC;x 6;75 cl;
1053;023001;JARNOTERIE AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 12;75 cl;
1054;023002;JARNOTERIE AOP ST NICOLAS DE BOURGUEIL;0;RGE;x 24;37.5 cl;
1056;088002;DOMAINE PORTIER AOP QUINCY;0;BLC;x 12;37.5 cl;
1057;065001;DOMAINE DE L'OLIVETTE AOP BANDOL;0;RSE;x 12;75 cl;
1058;065002;DOMAINE DE L'OLIVETTE AOP BANDOL;0;RSE;x 24;37.5 cl;
1059;065003;DOMAINE DE L'OLIVETTE AOP BANDOL;0;RGE;x 12;75 cl;
1060;065005;DOMAINE DE L'OLIVETTE AOP BANDOL;0;BLC;x 12;75 cl;
1061;059001;CHATEAU DU ROUET AOP COTES PROVENCE CUVEE RESERVEE;2005;RSE;x 12;75 cl;
1062;059002;CHATEAU DU ROUET AOP COTES PROVENCE ESTERELLE;2015;RSE;x 12;37.5 cl;
1063;059010;CHATEAU DU ROUET AOP COTES PROVENCE BELLE POULE;2014;RSE;x 6;75 cl;
1065;037001;JM. RAFFAULT AOP CHINON LES PICASSES;0;RGE;x 6;75 cl;
1066;037002;JM. RAFFAULT AOP CHINON LES PICASSES;0;RGE;x 1;37.5 cl;
1067;037005;JM. RAFFAULT AOP CHINON;2014;RSE;x 6;75 cl;
1068;037006;JM. RAFFAULT AOP CHINON;0;RSE;x 1;37.5 cl;
1069;037010;JM. RAFFAULT AOP CHINON SEC;2015;BLC;x 6;75 cl;
1070;037011;JM. RAFFAULT AOP CHINON SEC;0;BLC;x 1;37.5 cl;
1071;009001;LES CHAILLOUX AOP POUILLY FUME;2003;BLC;x 6;75 cl;
1072;009002;LES CHAILLOUX AOP POUILLY FUME;2003;BLC;x 12;37.5 cl;
1073;009004;DOM CHAT AC POUILLY FUME LES CHARMES;0;BLC;x 12;75 cl;
1074;009005;DOM CHAT AC POUILLY FUME LES CHARMES;0;BLC;x 24;37.5 cl;
1075;009007;DOM CHAT AC POUILLY FUME CHATELAIN PRESTIGE;0;BLC;x 12;75 cl;
1076;068001;"DUBREUIL FON AC PERNAND VERGELESSES ""CLOS BERTHET""";0;BLC;x 6;75 cl;
1077;068002;"DUBREUIL FON AC PERNAND VERGELESSES ""CLOS BERTHET""";0;RGE;x 12;75 cl;
1078;068003;DUBREUIL F. AC PERNAND ILE DES VERGELESSES 1ER CRU;2002;BLC;x 6;75 cl;
1079;068013;DUB. F. AC SAVIGNY LES BEAUNE VERGELESSES 1ER CRU;2003;BLC;x 6;75 cl;
1080;068014;DUBREUIL F. AC PERNAND VERGELESSES;0;BLC;x 6;75 cl;
1081;068015;DUBREUIL F. AC BEAUNE MONTREVENOTS 1ER CRU;0;BLC;x 6;75 cl;
1082;068016;DUBREUIL F. AC ALOXE CORTON LES VERCOTS 1ER CRU (;2001;RGE;x 6;75 cl;
1083;068030;DUBREUIL F. AC CORTON CLOS DU ROI GRAND CRU;0;RGE;x 6;75 cl;
1084;068032;DUBREUIL F. AC CORTON PERRIERES GRAND CRU;0;RGE;x 6;75 cl;
1085;068040;DUBREUIL F. AC VOLNAY;2001;RGE;x 6;75 cl;
1086;068045;DUBREUIL F. AC POMMARD EPENOTS 1ER CRU;0;RGE;x 6;75 cl;
1087;068106;DUBREUIL F. AC PERNAND VERGELESSES;0;BLC;x 6;75 cl;
1088;068120;DUBREUIL F. AC CORTON CHARLEMAGNE GRAND CRU;0;BLC;x 6;75 cl;
1089;068200;DUBREUIL F. AC BOURGOGNE ALIGOTE;0;BLC;x 12;75 cl;
1090;013000;LA CHABLISIENNE AC BOURGOGNE PASSETOUTGRAINS;2004;RGE;x 6;75 cl;
1091;013001;LA CHABLISIENNE AC BOURGOGNE PASSETOUTGRAINS;2001;RGE;x 12;37.5 cl;
1092;013006;LA CHABLISIENNE VDP CHARDONNAY;0;BLC;x 6;75 cl;
1093;013007;LA CHABLISIENNE VIN APP VILLAGE IRANCY;0;RGE;x 6;75 cl;
1094;013010;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME  VAULORENT;2002;BLC;x 6;75 cl;
1095;013011;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME  VAULORENT;0;BLC;x 24;37.5 cl;
1096;013012;LA CHABLISIENNE AC CREMANT DE BOURGOGNE CUVEE BRUT;0;BLC;x 6;75 cl;
1099;013045;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 6;75 cl;
1100;013046;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 12;37.5 cl;
1101;013055;LA CHABLISIENNE  AC PETIT CHABLIS;2004;BLC;x 6;75 cl;
1102;013056;LA CHABLISIENNE  AC PETIT CHABLIS;0;BLC;x 6;150 cl;
1103;013070;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 12;75 cl;
1104;013071;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 6;75 cl;
1105;013072;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 12;37.5 cl;
1106;013073;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 6;75 cl;
1107;013074;LA CHABLISIENNE  AC CHABLIS CUVEE LC;0;BLC;x 1;150 cl;
1108;013080;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2001;BLC;x 6;75 cl;
1109;013081;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2001;BLC;x 12;37.5 cl;
1110;013084;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;2002;BLC;x 6;75 cl;
1112;013086;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 12;37.5 cl;
1113;013087;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 6;75 cl;
1114;013088;LA CHABLISIENNE  AC CHABLIS VIEILLES VIGNES;0;BLC;x 1;150 cl;
1116;013132;LA CHABLISIENNE  AC CHABLIS GRAND CRU LES PREUSES;0;BLC;x 12;37.5 cl;
1117;013160;LA CHABLISIENNE  AC CHABLIS GRAND CRU BOUGROS;0;BLC;x 12;75 cl;
1118;013190;LA CHABLISIENNE  AC CHABLIS GRAND CRU BLANCHOT;0;BLC;x 12;75 cl;
1119;013191;LA CHABLISIENNE  AC CHABLIS GRAND CRU BLANCHOT;0;BLC;x 12;37.5 cl;
1120;013210;LA CHABLISIENNE  AC CHABLIS GRAND CRU VALMUR;0;BLC;x 12;75 cl;
1121;013240;LA CHABLISIENNE  AC CHABLIS 1ER CRUCOTE DE LECHET;0;BLC;x 6;75 cl;
1122;013271;LA CHABLISIENNE  AC CHABLIS GRAND CRU VAUDESIR;0;BLC;x 6;75 cl;
1123;013272;LA CHABLISIENNE  AC CHABLIS GRAND CRU VAUDESIR;0;BLC;x 12;37.5 cl;
1124;013300;LA CHABLISIENNE  AC CHABLIS GRAND CRU LES CLOTS;0;BLC;x 12;75 cl;
1125;013330;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 12;75 cl;
1126;013331;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 12;37.5 cl;
1127;013332;LA CHABLISIENNE  AC CHABLIS GRAND CRU CH GRENOUILL;0;BLC;x 6;75 cl;
1128;013345;LA CHABLISIENNE  AC CHABLIS 1ER CRU LES LYS;0;BLC;x 6;75 cl;
1130;013361;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;2003;BLC;x 12;37.5 cl;
1131;013362;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;2003;BLC;x 6;75 cl;
1132;013363;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONT DE MILIEU;0;BLC;x 1;150 cl;
1133;013392;LA CHABLISIENNE  AC CHABLIS 1ER CRU BEAUROY;0;BLC;x 12;75 cl;
1134;013420;LA CHABLISIENNE  AC CHABLIS 1ER CRU VAILLONS;0;BLC;x 12;75 cl;
1135;013450;LA CHABLISIENNE  AC CHABLIS 1ER CRU MONTMAIN;0;BLC;x 12;75 cl;
1136;013480;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2001;BLC;x 12;75 cl;
1137;013481;LA CHABLISIENNE  AC CHABLIS 1ER CRU FOURCHAUME;2000;BLC;x 24;37.5 cl;
1138;013483;LA CHAB.  AC CHABLIS 1ER CRU FOURCHAUME VAULORENTS;0;BLC;x 12;75 cl;
1139;013540;LA CHAB.  AC CHABLIS 1ER CRU MONTEE DE TONNERRE;0;BLC;x 6;75 cl;
1140;013660;LA CHABLISIENNE  AC CHABLIS GRAND CRU GRENOUILLE;0;BLC;x 6;75 cl;
1141;013661;LA CHABLISIENNE  AC CHABLIS GRAND CRU GRENOUILLE;0;BLC;x 24;37.5 cl;
1142;004001;DOM DOZON AC CHINON CLOS SAUT LOUP;2002;RGE;x 6;75 cl;
1143;004002;DOM DOZON AC CHINON CLOS SAUT LOUP;2002;RGE;x 12;37.5 cl;
1144;004004;DOM DOZON AC CHINON;0;RSE;x 6;75 cl;
1145;004005;DOM DOZON AC CHINON;0;RSE;x 12;37.5 cl;
1147;004008;DOM DOZON AC CHINON VIEILLES VIGNES;2003;RGE;x 12;37.5 cl;
1148;004009;DOM DOZON AC CHINON VIEILLES VIGNES;0;RGE;x 3;150 cl;
1150;019011;AOP BORDEAUX SUPERIEUR CHATEAU GAURY-BALETTE;2014;RGE;x 6;75 cl;1
1151;025026;IGP CHARDONNAY DOMAINE D'ANTUGNAC;2014;BLC;x 6;75 cl;
1153;042100;IGP VAUCLUSE;0;RGE;x 1;VRAC;
1156;032001;CHATEAU PEY-LAMOTHE TRADITION AOP ST EMILION;2001;RGE;x 6;75 cl;
1158;040012;AOP COTES DE BOURG BEL AIR;2012;RGE;x 6;150 cl;1
1159;052039;AOP HAUT-MEDOC ENCLOS DE RAMAGE;2010;RGE;x 6;75 cl;
1160;015001;CHATEAU DE LA NAUVE AOP ST EMILION;2000;RGE;x 6;75 cl;
1161;015005;CHATEAU DE LA NAUVE AOP ST EMILION FUT DE CHENE;2001;RGE;x 6;75 cl;
1162;074001;AOP GIGONDAS SIGNATURE;2088;RGE;x 6;75 cl;
1163;074005;HALLALI - GRANDE RESERVE AOP GIGONDAS;2006;RGE;x 6;75 cl;
1165;025002;AOP SAINT-VERAN;2010;BLC;x 24;37.5 cl;
1169;075001;AOP MEDOC CHATEAU LE BREUIL RENAISSANCE;2004;RGE;x 6;75 cl;
1177;032005;CHATEAU PEY LAMOTHE LA REFERENCE AOP MONTAGNE ST EMILION;2000;RGE;x 6;75 cl;
1185;051010;CLOS TRIMOULET AOP ST EMILION GRAND CRU;2010;RGE;x 6;75 cl;
1188;061001;AOVDQS LAVILLEDIEU 11deg;2003;RGE;x 1;B10L;
1189;035016;DOMAINE OLIVIER AOP ST NICOLAS DE BOURGUEIL;2002;RGE;x 1;300cl D-MAG;
1193;052017;AOP HAUT-MEDOC CRU BOURGEOIS CHATEAU RAMAGE LA BATISSE;2010;RGE;x 6;150 cl;1
1194;052038;ENCLOS DE RAMAGE AOP HAUT-MEDOC;1999;RGE;x 6;75 cl;
1195;071005;BOISSERON MERLOT VDT 12deg;0;RGE;x 1;VRAC;
1196;025021;AOP POUILLY-FUISSE VIEILLES VIGNES;2013;BLC;x 6;75 cl;
1197;076001;CHATEAU LA BONETIE AOP BORDEAUX;2001;RGE;x 6;75 cl;
1198;076005;CHATEAU LA BONETIE AOP ENTRE DEUX MERS;2004;BLC;x 6;75 cl;
1203;114007;AOP TOURAINE DOMAINE DE LA CHAISE;2003;RSE;x 6;75 cl;
1204;114008;AOP TOURAINE DOMAINE DE LA CHAISE;2003;RSE;x 6;37.5 cl;
1207;057015;DOMAINE BELLEFOND AOP GAILLAC;2002;RGE;x 6;75 cl;
1208;011015;AOP VOUVRAY METHODE TRADITIONNELLE BRUT;0;BLC;x 6;150 cl;
1209;017030;DOMAINE BELLEGARDE AOP JURANCON MOELLEUX;2003;BLC;x 12;75 cl;
1210;013002;DME LA CHABLISIENNE AC PETIT CHABLIS PRELUDE;2002;BLC;x 6;75 cl;
1211;063089;CH NODOZ  T. B.  AC COTES DE BOURG;0;RGE;x 24;37.5 cl;
1212;086020;BERTICOT AOP COTES DE DURAS;2001;RGE;x 6;75 cl;
1213;086021;CUVEE VIEILLES VIGNES AOP COTES DE DURAS SAUVIGNON;2001;BLC;x 6;75 cl;
1214;025008;DOMAINE DEUX ROCHES AOP SAINT-VERAN LES TERRES NOIRES;2002;BLC;x 6;75 cl;
1215;025007;DOMAINE DEUX ROCHES AOP SAINT VERAN VIEILLES VIGNES;2002;BLC;x 6;75 cl;
1216;032002;CHATEAU PEY-LAMOTHE TRADITION AOP MONTAGNE ST EMILION;2002;RGE;x 6;75 cl;
1217;075002;AOP MEDOC CHATEAU BREUIL RENAISSANCE;2013;RGE;x 6;75 cl;1
1220;090005;DOMAINE ST ENNEMOND BROUILLY;2002;RGE;x 6;75 cl;
1221;090006;DOMAINE ST ENNEMOND BROUILLY;2002;RGE;x 6;37.5 cl;
